edition,year,noc,country_name,gold,silver,bronze,total_medals,iso3,gdp_per_capita,population,gni_per_capita,hdi,eurostat_recreation_pct_gdp,wvs_country,wvs_interpersonal_trust,wvs_confidence_govt,wvs_confidence_parties,wvs_national_pride,wvs_sport_org_membership,ess_social_trust,ess_trust_parliament,ess_trust_legal,ess_news_politics
2016 Summer Olympics,2016,NGR,Nigeria,0,0,1,1,NGA,2070.4127339595,195443700.0,2370.0,0.52,,NGA,1.8731707317073172,2.691808596918086,2.8943948009748173,2.8868229587712206,2.5909863945578233,,,,
2016 Summer Olympics,2016,POR,Portugal,0,0,1,1,PRT,19980.2808866516,10325452.0,19950.0,0.85,0.8,,,,,,,4.130811662726557,3.9437299035369775,4.0016090104585675,38.741745283018865
2016 Summer Olympics,2016,TTO,Trinidad and Tobago,0,0,1,1,TTO,17449.1538801956,1353895.0,17870.0,0.812,,,,,,,,,,,
2016 Summer Olympics,2016,UAE,United Arab Emirates,0,0,1,1,ARE,42721.0999383185,8935095.0,46180.0,0.86,,,,,,,,,,,
2020 Summer Olympics,2020,USA,United States,39,41,33,113,USA,63515.9491807833,331577720.0,64920.0,0.923,,USA,1.6026285272516427,2.9236138037999226,3.144690781796966,2.7394502516453736,1.4597432905484247,,,,
2020 Summer Olympics,2020,CHN,People's Republic of China,38,32,19,89,CHN,10627.4637989619,1411100000.0,10740.0,0.781,,CHN,1.3456297773346626,1.5609514370664024,1.7213386348575215,3.1665018133860863,2.4069034185197475,,,,
2020 Summer Olympics,2020,ROC,ROC,20,28,23,71,RUS,10108.3271484375,145245148.0,10660.0,0.826,,RUS,1.7609065155807366,2.4773638968481375,2.866230677764566,2.746906636670416,2.433158201984822,4.393449419568823,4.270851246775581,4.380129589632829,32.80821917808219
2020 Summer Olympics,2020,GBR,Great Britain,22,20,22,64,GBR,40812.6794663879,66744000.0,39340.0,0.92,,GBR,1.5329178028827426,3.0423465423465426,3.125098347757671,3.0455246913580245,1.2993827160493827,5.4255874673629245,4.071866783523225,5.740805604203152,34.50718954248366
2020 Summer Olympics,2020,JPN,Japan,27,14,17,58,JPN,40028.7341726762,126261000.0,40930.0,0.917,,JPN,1.6440281030444965,2.64119066773934,2.823283082077052,2.5781954887218044,1.5846407927332782,,,,
2020 Summer Olympics,2020,AUS,Australia,17,7,22,46,AUS,51983.4523666382,25649248.0,53770.0,0.948,,AUS,1.4598214285714286,2.8173719376391984,3.1181058495821725,2.991662034463591,1.2185761957730812,,,,
2020 Summer Olympics,2020,ITA,Italy,10,10,20,40,ITA,32091.4866621366,59438851.0,32600.0,0.892,0.8,,,,,,,5.00645896656535,4.199923400995787,5.1240819482025515,36.49175627240143
2020 Summer Olympics,2020,GER,Germany,10,11,16,37,DEU,47394.8734504469,83160871.0,48540.0,0.948,1.1,DEU,1.540485829959514,2.6233153638814017,2.908344733242134,3.1304062909567496,1.4193121693121693,4.742084585162931,5.134244654749387,6.141490726700105,38.19485791610284
2020 Summer Olympics,2020,NED,Netherlands,10,12,14,36,NLD,53467.9277413737,17441500.0,51490.0,0.938,1.2,NLD,1.3879443585780527,2.870741482965932,3.0476431829700963,3.092085614733698,1.5601249349297241,6.538513974096796,5.778006872852234,6.756849315068493,38.88222464558343
2020 Summer Olympics,2020,FRA,France,10,12,11,33,FRA,39169.8606000707,67601110.0,39690.0,0.9,1.5,,,,,,,4.686582278481013,4.543080939947781,5.211224489795918,34.719002201027145
2020 Summer Olympics,2020,CAN,Canada,7,7,10,24,CAN,43537.839298904,38028638.0,43900.0,0.928,,CAN,1.5049776007964162,2.5868591338974616,2.9243404678944747,2.943504230960677,1.339223494275759,,,,
2020 Summer Olympics,2020,BRA,Brazil,7,6,8,21,BRA,7074.19407495707,208660842.0,8080.0,0.758,,BRA,1.9335260115606936,3.2901162790697676,3.5303995367689636,2.2536106296938185,1.7263411693791442,,,,
2020 Summer Olympics,2020,NZL,New Zealand,7,6,7,20,NZL,41997.7830324279,5072400.0,41850.0,0.935,,NZL,1.4049751243781095,2.4485219164118246,2.90216271884655,3.22820763956905,1.2267839687194526,,,,
2020 Summer Olympics,2020,HUN,Hungary,6,7,7,20,HUN,16386.9308821258,9670419.0,16330.0,0.849,3.9,,,,,,,4.696739130434783,4.681592039800995,5.435025097601785,29.590421729807005
2020 Summer Olympics,2020,KOR,Republic of Korea,6,4,10,20,KOR,33645.7719545073,51836239.0,35000.0,0.922,,KOR,1.6706827309236947,2.52289156626506,2.9036144578313254,2.7132530120481926,2.1775100401606426,,,,
2020 Summer Olympics,2020,UKR,Ukraine,1,6,12,19,UKR,3709.76928710938,44680014.0,3530.0,0.762,,UKR,1.6934713375796178,3.1637572734829593,3.2273858921161827,2.899601593625498,2.34315424610052,3.7722285281876657,2.214148404459823,2.5859188544152745,34.325192802056556
2020 Summer Olympics,2020,ESP,Spain,3,8,6,17,ESP,27233.9426461608,47359424.0,27410.0,0.894,1.2,,,,,,,4.498457470251212,3.885472370766488,4.375555555555556,36.67569856054191
2020 Summer Olympics,2020,CUB,Cuba,7,3,5,15,CUB,9605.27914559614,11176354.0,,0.759,,,,,,,,,,,
2020 Summer Olympics,2020,POL,Poland,4,5,5,14,POL,16150.9304813473,37515748.0,15640.0,0.874,1.3,,,,,,,2.919157275845174,2.7934943321833416,3.167482859941234,38.673314339981005
2020 Summer Olympics,2020,SUI,Switzerland,3,4,6,13,CHE,85897.7843338323,8638167.0,81740.0,0.957,1.1,,,,,,,6.036842105263158,6.598611111111111,6.930452397029034,36.26660682226212
2020 Summer Olympics,2020,TUR,Türkiye,2,2,9,13,TUR,8798.11791709313,83384680.0,9330.0,0.835,,TUR,1.8573839662447258,2.1363636363636362,2.5038200339558574,2.819409282700422,2.40337224383917,2.2938251139660175,5.897457627118644,6.303556308213379,
2020 Summer Olympics,2020,CZE,Czechia,4,4,3,11,CZE,23472.8915454417,10697858.0,22190.0,0.891,1.4,CZE,1.6272040302267003,2.8493265993265995,3.0271186440677966,2.7577276524644945,2.0455696202531644,5.208755573571139,4.686801820438561,5.482688391038696,32.25286662643331
2020 Summer Olympics,2020,DEN,Denmark,3,4,4,11,DNK,60985.4885601514,5831404.0,62710.0,0.946,1.7,,,,,,,7.063137755102041,6.166666666666667,7.683601286173634,37.62452107279694
2020 Summer Olympics,2020,KEN,Kenya,4,4,2,10,KEN,1927.66459027849,52217334.0,1910.0,0.599,,KEN,1.904153354632588,2.5691318327974275,3.0707892595606183,2.9085850556438793,2.2716568544995797,,,,
2020 Summer Olympics,2020,JAM,Jamaica,4,1,4,9,JAM,5299.04530804283,2830739.0,5360.0,0.707,,,,,,,,,,,
2020 Summer Olympics,2020,SWE,Sweden,3,6,0,9,SWE,52568.5726980146,10353442.0,54590.0,0.944,1.6,,,,,,,5.470510563380282,5.746136865342163,5.8242290748898675,39.775290215588726
2020 Summer Olympics,2020,SRB,Serbia,3,1,5,9,SRB,8098.70955668849,6899126.0,7790.0,0.806,,SRB,1.8338192419825072,3.05424769703173,3.392378990731205,2.956813819577735,2.0981404958677685,3.423592493297587,4.048070412999323,3.281651997291808,34.0770202020202
2020 Summer Olympics,2020,NOR,Norway,4,2,2,8,NOR,68340.0181033702,5379475.0,78610.0,0.963,1.9,,,,,,,6.822443181818182,7.149964463397299,7.734004313443566,38.168552036199095
2020 Summer Olympics,2020,CRO,Croatia,3,3,2,8,HRV,14807.5608543265,3914206.0,15130.0,0.86,2.0,,,,,,,4.6551503518873965,3.2061657032755297,2.9389460154241647,34.25067144136079
2020 Summer Olympics,2020,GEO,Georgia,2,5,1,8,GEO,4300.85701291207,3722716.0,4330.0,0.807,,,,,,,,,,,
2020 Summer Olympics,2020,KAZ,Kazakhstan,0,0,8,8,KAZ,8781.50797787648,19482117.0,8380.0,0.806,,KAZ,1.7610837438423645,2.1145833333333335,2.318548387096774,2.8255908720456397,2.7069846678023852,,,,
2020 Summer Olympics,2020,IRI,Islamic Republic of Iran,3,2,2,7,IRN,3202.50003502169,87723443.0,3980.0,0.779,,IRN,1.8516042780748663,2.584956346541303,2.70260989010989,3.1622162883845126,2.3410169491525425,,,,
2020 Summer Olympics,2020,BEL,Belgium,3,1,3,7,BEL,45906.2875805246,11538604.0,46330.0,0.93,1.3,,,,,,,5.520895522388059,4.819560272934041,5.432858214553638,34.778884462151396
2020 Summer Olympics,2020,BLR,Belarus,1,3,3,7,BLR,6542.85579976768,9379952.0,6410.0,0.8,,,,,,,,,,,
